"","MSTI_VAR","MSTI.Variables","Country","Year","Unit.Code","Unit","PowerCode.Code","PowerCode","Value","Flag.Codes","Flags","src","type"
"1","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Australia",2011,"USD","US Dollar",6,"Millions",20978.1038296501,"e","Estimated value","G_","PPP"
"2","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Australia",2013,"USD","US Dollar",6,"Millions",23129.6839436887,"e","Estimated value","G_","PPP"
"3","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Australia",2015,"USD","US Dollar",6,"Millions",21151.5170249401,"e","Estimated value","G_","PPP"
"4","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Canada",2011,"USD","US Dollar",6,"Millions",25570.5349289612,"","","G_","PPP"
"5","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Canada",2012,"USD","US Dollar",6,"Millions",26019.4621977709,"b","Time series break","G_","PPP"
"6","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Canada",2013,"USD","US Dollar",6,"Millions",26504.0743786827,"","","G_","PPP"
"7","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Canada",2014,"USD","US Dollar",6,"Millions",27793.5422531976,"b","Time series break","G_","PPP"
"8","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Canada",2015,"USD","US Dollar",6,"Millions",27005.5171382895,"","","G_","PPP"
"9","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Canada",2016,"USD","US Dollar",6,"Millions",27586.7269111311,"","","G_","PPP"
"10","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Canada",2017,"USD","US Dollar",6,"Millions",27162.8117273698,"p","Provisional value","G_","PPP"
"11","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Canada",2018,"USD","US Dollar",6,"Millions",27598.0222227425,"p","Provisional value","G_","PPP"
"12","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","France",2011,"USD","US Dollar",6,"Millions",53617.2914699277,"","","G_","PPP"
"13","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","France",2012,"USD","US Dollar",6,"Millions",55097.7262196232,"","","G_","PPP"
"14","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","France",2013,"USD","US Dollar",6,"Millions",58353.3263369787,"","","G_","PPP"
"15","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","France",2014,"USD","US Dollar",6,"Millions",60585.6499066721,"b","Time series break","G_","PPP"
"16","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","France",2015,"USD","US Dollar",6,"Millions",61645.6567122176,"","","G_","PPP"
"17","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","France",2016,"USD","US Dollar",6,"Millions",63041.4855504712,"p","Provisional value","G_","PPP"
"18","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","France",2017,"USD","US Dollar",6,"Millions",64672.121767917,"e","Estimated value","G_","PPP"
"19","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Germany",2011,"USD","US Dollar",6,"Millions",95809.965740943,"","","G_","PPP"
"20","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Germany",2012,"USD","US Dollar",6,"Millions",100490.08504661,"","","G_","PPP"
"21","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Germany",2013,"USD","US Dollar",6,"Millions",102905.454647198,"","","G_","PPP"
"22","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Germany",2014,"USD","US Dollar",6,"Millions",109562.683366854,"","","G_","PPP"
"23","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Germany",2015,"USD","US Dollar",6,"Millions",114128.17695843,"","","G_","PPP"
"24","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Germany",2016,"USD","US Dollar",6,"Millions",119921.255241296,"","","G_","PPP"
"25","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Germany",2017,"USD","US Dollar",6,"Millions",131339.455650493,"e","Estimated value","G_","PPP"
"26","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Italy",2011,"USD","US Dollar",6,"Millions",26111.6902937421,"","","G_","PPP"
"27","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Italy",2012,"USD","US Dollar",6,"Millions",27419.6116133081,"","","G_","PPP"
"28","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Italy",2013,"USD","US Dollar",6,"Millions",28459.4047920513,"","","G_","PPP"
"29","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Italy",2014,"USD","US Dollar",6,"Millions",29448.3378442964,"e","Estimated value","G_","PPP"
"30","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Italy",2015,"USD","US Dollar",6,"Millions",30002.8945880574,"","","G_","PPP"
"31","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Italy",2016,"USD","US Dollar",6,"Millions",32460.2431430034,"b","Time series break","G_","PPP"
"32","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Italy",2017,"USD","US Dollar",6,"Millions",33542.902729294,"p","Provisional value","G_","PPP"
"33","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Japan",2011,"USD","US Dollar",6,"Millions",148389.229420122,"","","G_","PPP"
"34","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Japan",2012,"USD","US Dollar",6,"Millions",152325.567587805,"","","G_","PPP"
"35","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Japan",2013,"USD","US Dollar",6,"Millions",164655.764309366,"b","Time series break","G_","PPP"
"36","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Japan",2014,"USD","US Dollar",6,"Millions",169554.148525839,"","","G_","PPP"
"37","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Japan",2015,"USD","US Dollar",6,"Millions",168546.119458247,"","","G_","PPP"
"38","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Japan",2016,"USD","US Dollar",6,"Millions",164758.219709342,"","","G_","PPP"
"39","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Japan",2017,"USD","US Dollar",6,"Millions",170900.73564917,"","","G_","PPP"
"40","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Korea",2011,"USD","US Dollar",6,"Millions",58379.6541633494,"","","G_","PPP"
"41","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Korea",2012,"USD","US Dollar",6,"Millions",64862.488554488,"","","G_","PPP"
"42","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Korea",2013,"USD","US Dollar",6,"Millions",68234.054772454,"","","G_","PPP"
"43","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Korea",2014,"USD","US Dollar",6,"Millions",73099.8133108071,"","","G_","PPP"
"44","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Korea",2015,"USD","US Dollar",6,"Millions",76932.3905476723,"","","G_","PPP"
"45","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Korea",2016,"USD","US Dollar",6,"Millions",80465.5603788698,"","","G_","PPP"
"46","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Korea",2017,"USD","US Dollar",6,"Millions",90979.6312380207,"","","G_","PPP"
"47","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Mexico",2011,"USD","US Dollar",6,"Millions",9775.28282610372,"","","G_","PPP"
"48","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Mexico",2012,"USD","US Dollar",6,"Millions",9798.98979002142,"","","G_","PPP"
"49","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Mexico",2013,"USD","US Dollar",6,"Millions",10292.5457559401,"","","G_","PPP"
"50","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Mexico",2014,"USD","US Dollar",6,"Millions",11519.1619624227,"e; p","Estimated value; Provisional value","G_","PPP"
"51","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Mexico",2015,"USD","US Dollar",6,"Millions",11670.3613987066,"e; p","Estimated value; Provisional value","G_","PPP"
"52","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","Mexico",2016,"USD","US Dollar",6,"Millions",11259.9348197936,"e; p","Estimated value; Provisional value","G_","PPP"
"53","G_PPP","Gross Domestic Expenditure on R&D (GERD) at current PPP $","United Kingdom",2011,"USD","US Dollar",6,"Millions",38778.5866235766,"","","G_","PPP"
